Judul Artikel,Tanggal,Konten,Sentimen
"Saat Jokowi Bandingkan Kualitas Udara IKN, Jakarta, dan Paris","Rabu, 05 Jun 2024 12:44 WIB",Presiden Jokowi berbicara terkait kualitas udara di beberapa kota. Ia yakin kualitas udara di IKN nantinya akan lebih baik dan berada di rentang 0-20.,positif
DLH DKI Ungkap Kualitas Udara di Jagakarsa Jaksel Tidak Sehat Pagi Tadi,"Kamis, 15 Feb 2024 11:29 WIB","Dinas Lingkungan Hidup (LH) DKI Jakarta mengungkapkan kualitas udara di Jagakarsa, Jakarta Selatan, di kategori tidak sehat pukul 07.00 WIB hari ini.",negatif
Kualitas Udara di Lamongan Masuk Kategori Baik,"Rabu, 30 Agu 2023 16:13 WIB","Indeks Kualitas Lingkungan Hidup (IKLH) dan Indeks Kualitas Udara (IKU) Lamongan berada di angka 84.05. Itu artinya, kualitas udara di Kota Soto baik.",positif
Kualitas Udara di Jakarta Pagi Ini Masuk Kategori Tidak Sehat,"Jumat, 03 Mei  2024 07:36 WIB",Udara di Jakarta pada Jumat pagi ini masuk dalam kategori tidak sehat. Cuaca pagi ini berkabut.,negatif
"Cuma Kendaraan Listrik yang Boleh Beredar, Jokowi Yakin Kualitas Udara di IKN Bersih","Jumat, 07 Jun 2024 08:45 WIB",Kendaraan yang boleh beredar di IKN hanya kendaraan listrik.,netral
DLH DKI: KLHK Akan Beri Standardisasi Alat Ukur Kualitas Udara,"Senin, 25 Sep 2023 18:31 WIB",DLH DKI mengatakan KLHK akan mengeluarkan standardisasi alat pengukur kualitas udara. KLHK diharapkan segera menerbitkannya.,netral
12 Cara Meningkatkan Kualitas Udara di Rumah Biar Selalu Segar,"Jumat, 05 Apr 2024 10:30 WIB",Udara yang segar dan berkualitas membuat rumah terasa nyaman dan sehat. Simak 12 cara meningkatkan kualitas udara di rumah berikut ini.,netral
"Kota Jambi Akhirnya Diguyur Hujan Lebat, Kualitas Udara Membaik","Kamis, 21 Sep 2023 19:06 WIB",Hujan lebat mengguyur Kota Jambi pada Kamis (21/9). Alhasil kualitas udara membaik dan lahan gambut yang berpotensi kebakaran pun basah.,positif
"Kualitas Udara Memburuk, KBM di Palembang Boleh Daring","Minggu, 01 Okt 2023 15:49 WIB",Dinas Pendidikan (Disdik) Kota Palembang mengeluarkan aturan pembelajaran baru terkait kabut asap. Sekolah diperbolehkan belajar mengajar secara daring.,netral
"Siti Nurbaya Soroti Alat Ukur Kualitas Udara Cuma PM 2,5","Senin, 28 Agu 2023 21:59 WIB","Menteri Lingkungan Hidup dan Kehutanan Siti Nurbaya menyoroti alat ukur kualitas udara yang hanya menggunakan PM 2,5.",netral
"Langit Biru Jakarta Hari Ini, Kualitas Udara Indikator 'Baik'","Selasa, 19 Mar 2024 14:35 WIB",Langit di Jakarta terlihat cerah hingga tampak biru pada siang ini. Jarak pandang di udara pun terlihat luas. Bagaimana kualitas udaranya?,netral
"Kualitas Udara Menurun, Warga Padang Diimbau Pakai Masker","Senin, 04 Sep 2023 07:36 WIB","Kualitas udara di Kota Padang, Sumatera Barat, dilaporkan turun. Masyarakat diimbau untuk menggunakan masker.",netral
"Kualitas Udara Palembang Memburuk, Warga Diimbau Pakai Masker","Selasa, 05 Sep 2023 08:39 WIB","BMKG Sumsel mencatat kualitas udara di Palembang memburuk karena tidak adanya curah hujan di musim kemarau, ditambah munculnya sejumlah titik api atau hotspot.",negatif
Jokowi Andalkan LRT-Kereta Cepat untuk Perbaiki Kualitas Udara Jabodetabek,"Senin, 14 Agu 2023 13:53 WIB",Presiden Jokowi menyampaikan semua pihak harus konsisten menerapkan kebijakan yang mengurangi kendaraan berbasis fosil dan beralih ke transportasi massal,netral
Kualitas Udara Banyuwangi Saat Indonesia Masuk 20 Besar Negara Terburuk,"Rabu, 30 Agu 2023 23:59 WIB",Kualitas udara di Banyuwangi ternyata masih terkategori sangat baik setelah dilakukan uji kualitas oleh Dinas Lingkungan Hidup setempat.,positif
"Kualitas Udara DKI dan Sekitarnya Sempat Mendingan, Begini Penampakannya","Kamis, 31 Agu 2023 07:30 WIB","Kualitas udara DKI Jakarta sore hingga malam kemarin, lagi agak mendingan. Bukan cuma di DKI, tetapi di Tangsel hingga Depok. Ini datanya.",netral
IQ Air: Polusi Udara Jakarta Paling Tinggi di Dunia Pagi Ini,"Selasa, 18 Jun 2024 10:02 WIB",Situs IQ Air menempatkan Jakarta sebagai kota dengan tingkat polusi udara tertinggi di dunia pagi ini. IQ Air menyatakan kualitas udara di Jakarta tidak sehat.,negatif
Kualitas Udara di Jakarta Siang Ini Masuk Kategori Tidak Sehat,"Rabu, 21 Feb 2024 13:52 WIB",Udara di Jakarta siang ini masuk kategori tidak sehat. Kondisi udara Jakarta tampak berkabut.,negatif
Menkes Akui Standar Kualitas Udara RI Tak Sesuai WHO,"Rabu, 30 Agu 2023 15:00 WIB",Menkes mengakui pemerintah Indonesia belum mengikuti standar kualitas udara WHO untuk penilaian polusi. Ada beragam aspek yang menjadi pertimbangan.,netral
Jokowi Puji-puji Kualitas Udara IKN Jauh Lebih Baik Dibanding Jakarta-Paris,"Rabu, 05 Jun 2024 19:35 WIB","Pagi ini, Jokowi membandingkan kualitas udara di IKN dengan beberapa kota besar dunia. Jokowi yakin, kualiatas udara di IKN lebih bagus dibanding daerah lain.",positif
Kemenperin Sebut Kualitas Udara Jabodetabek Tetap Buruk Meski Sepi Kendaraan,"Selasa, 05 Sep 2023 06:00 WIB","Kemenperin mempertanyakan data cemaran polusi Jabodetabek meski sepi kendaraan, di waktu weekend. Pertanda polusi tak cuma dipicu kendaraan?",netral
BMKG Jelaskan Penyebab Kualitas Udara Jakarta Saat Malam Lebih Buruk,"Senin, 28 Agu 2023 14:04 WIB",Kualitas udara Jakarta di malam hari lebih buruk dan tidak sehat dibanding kondisi di siang hari. BMKG mengungkap penyebab kondisi tersebut.,negatif
"Kualitas Udara Malam Jakarta Lebih Buruk, BMKG Jelaskan Lapisan Inversi","Senin, 28 Agu 2023 15:05 WIB","Menurut Kepala Pusat Informasi Perubahan Iklim BMKG, kualitas udara Jakarta di malam hari jauh lebih buruk dan tidak sehat. Berikut penjelasan selengkapnya.",negatif
Jokowi Yakin Kualitas Udara IKN Lebih Baik Dibanding Jakarta hingga Singapura,"Rabu, 05 Jun 2024 10:59 WIB","Jokowi menyebut indeks kualitas udara di IKN di bawah 30. Menurutnya, jauh lebih rendah dibandingkan dari Jakarta hingga Singapura.",netral
Jokowi Yakin Kualitas Udara di IKN Lebih Baik dari Melbourne-Paris,"Rabu, 05 Jun 2024 10:53 WIB",Presiden Joko Widodo berbicara terkait kualitas udara di beberapa kota. Ia yakin kualitas udara di IKN nantinya akan lebih baik dan berada di rentang 0-20.,positif
"Kualitas Udara Jakarta Memburuk, Legislator PDIP Minta Kurangi Kendaraan","Sabtu, 12 Agu 2023 06:15 WIB",Kualitas udara di Ibu Kota kian parah. Anggota DPRD DKI Jakarta Fraksi PDIP Gilbert Simanjuntak meminta penjualan kendaraan juga menjadi perhatian.,netral
Kualitas Udara Kota Bandung Pagi Ini Masuk Zona Oranye,"Selasa, 22 Agu 2023 08:22 WIB",Kualitas udara Kota Bandung berdasarkan catatan IQ Air pagi ini berada di zona oranye. Zona ini termasuk kategori tidak sehat bagi kelompok sensitif.,negatif
Heru Budi Sebut DKI Masih Kekurangan Stasiun Pemantau Kualitas Udara,"Jumat, 26 Jan 2024 12:21 WIB",Tercatat baru ada 13 SPKU yang terbangun hingga 2023. Kemudian SPKU di Jakarta baru ditambah kembali pada 2023 sebanyak sembilan unit.,netral
Pemprov DKI Diminta Perbanyak Kawasan Rendah Emisi Perbaiki Kualitas Udara,"Jumat, 02 Feb 2024 12:11 WIB",Anggota Komisi D DPRD DKI Jakarta dari Fraksi PDI Perjuangan Yuke Yurike meminta Pemprov DKI memperbanyak kawasan rendah emisi atau low emission zone (LEZ).,netral
Kualitas Udara Kota Bandung Pagi Ini Masuk Zona Oranye,"Jumat, 18 Agu 2023 09:15 WIB",Kualitas udara Kota Bandung berdasarkan catatan IQ Air pada Jumat (18/8/2023) hingga pukul 08.00 WIB berada di zona oranye (tidak sehat bagi kelompok sensitif).,negatif
Kualitas Udara Chicago Terburuk di Dunia,"Rabu, 28 Jun 2023 12:26 WIB","Kualitas udara di Chicago, Amerika Serikat menjadi yang terburuk di dunia versi IQAir per 27 Juni 2023. Polusi terjadi akibat kebakaran hutan di Kanada.",negatif
"Stasiun Pemantau Kualitas Udara: Fungsi, Syarat hingga Cara Kerja","Jumat, 19 Jan 2024 17:13 WIB",Apa itu Stasiun Pemantau Kualitas Udara (SPKU) yang berhubungan dengan Indeks Standar Pencemar Udara (ISPU)? Ini fungsi dan cara kerjanya.,netral
Riset detikEDU: Kebijakan PSBB Bisa Perbaiki Kualitas Udara,"Rabu, 02 Agu 2023 20:00 WIB",Riset detikEDU menunjukkan bahwa kebijakan PSBB bisa memperbaiki kualitas udara Jakarta. Seberapa besar?,positif
Ilmuwan Oxford Temukan Kualitas Udara Buruk Bikin Mental Terganggu,"Kamis, 31 Agu 2023 18:01 WIB","Ilmuwan Oxford menemukan kualitas udara yang buruk dapat memicu gangguan mental berupa depresi, kecemasan, hingga demensia. Seperti apa korelasinya?",negatif
"Menteri LHK: Setelah Hujan, Kualitas Udara Bogor Jadi Baik","Senin, 28 Agu 2023 17:59 WIB",Pemerintah membuat hujan buatan di wilayah Jabodetabek pada Minggu (27/8/23). Modifikasi cuaca tersebut mampu membuat kualitas udara di Bogor semakin baik.,positif
Semarang Jadi Kota Pertama Terapkan Alat Pemantau Kualitas Udara Mobile,"Minggu, 02 Jun 2024 07:00 WIB",Kolaborasi ini bisa memberikan manfaat bagi masyarakat dan tentunya menjadi pendukung dalam membuat kebijakan.,netral
Dinas LH DKI Sebut Fenomena El Nino Perburuk Kualitas Udara Jakarta,"Senin, 28 Agu 2023 11:56 WIB",Kepala Dinas Lingkungan Hidup (DLH) DKI Jakarta Asep Purwanto memaparkan hasil pemantauan kualitas udara yang dilakukan sepanjang tahun 2023.,netral
"Kualitas Udara di Jakarta Buruk, Pemrov DKI Imbau Pakai Masker","Jumat, 11 Agu 2023 16:27 WIB",Pemprov DKI Jakarta mengimbau warga Jakarta untuk menggunakan masker saat beraktivitas. Hal itu karena polusi udara di Jakarta mengkhawatirkan.,netral
Walkot Idris Klaim Kualitas Udara di Depok Masih Aman,"Rabu, 16 Agu 2023 17:09 WIB",M Idris menyebut kualitas udara di Kota Depok masih relatif aman dari polusi. Dia menyinggung penambahan penduduk yang relatif tinggi dibandingkan Kota Jakarta.,netral
"Penyebab Kualitas Udara Jabodetabek Buruk, Jokowi: Kemarau, Transportasi, dan Industri","Selasa, 15 Agu 2023 12:00 WIB",Presiden Joko Widodo mengungkapkan tiga penyebab kualitas udara di Jabodetabek sangat buruk bahkan tidak sehat. Cek informasi lengkapnya di sini.,negatif
BPBD Kepri: Kualitas Udara di Batam-Tanjungpinang Masuk Kategori Tidak Sehat,"Sabtu, 07 Okt 2023 15:23 WIB","Kualitas udara di tiga kabupaten kota di Kepri hari ini dalam kondisi tidak sehat akibat kiriman asap. Ketiga daerah itu yakni Batam, Tanjungpinang dan Anambas.",negatif
Jokowi Ungkap Penyebab Kualitas Udara di Jabodetabek Sangat Buruk,"Senin, 14 Agu 2023 12:18 WIB","Presiden Joko Widodo mengungkap penyebab kualitas udara di Jabodetabek sangat buruk. Bahkan, kata Jokowi, kualitas udara di DKI Jakarta dinyatakan tidak sehat.",negatif
"Langit Jakarta Biru dan Berawan Hari Ini, BMKG Beberkan Data Kualitas Udara","Senin, 11 Sep 2023 18:41 WIB",Langit Jakarta siang tadi tampak cerah berwarna biru disertai degan gugusan awan. BMKG pun menjelaskan kualitas udara di Jakarta hari ini.,netral
"Kualitas Udara Solok Selatan Tak Sehat, Pemkab Imbau Warga Tutup Jendela","Rabu, 06 Sep 2023 11:33 WIB","Dinas Perumahan, Pemukiman, Lingkungan Hidup dan Perhubungan Kabupaten Solok Selatan, menyatakan kualitas udara di daerah tidak sehat akibat kabut asap.",negatif
"Kualitas Udara di Kota Jambi Tidak Sehat, BMKG: Waspada Partikulat Karhutla!","Senin, 04 Sep 2023 15:35 WIB",Kualitas udara di Kota Jambi masuk dalam kategori tidak sehat. Kondisi itu dampak kabut asap kebakaran hutan dan lahan (karhutla) mulai menyelimuti Kota Jambi.,negatif
"Kualitas Udara DKI Tak Sehat, Semempan Apa Air Purifier Usir Polusi di Rumah?","Kamis, 07 Sep 2023 18:30 WIB",Buruknya kualitas udara membuat masyarakat dibayangi efek negatif polusi. Bisakah air purifier mengusir polusi di rumah?,negatif
Kualitas Udara di Bogor Diklaim Membaik Usai Hujan Hasil Modifikasi Cuaca,"Selasa, 29 Agu 2023 10:45 WIB","Menteri Lingkungan Hidup dan Kehutanan (LHK) menyebut teknologi modifikasi cuaca (TMC) yang dilakukan di Jabodetabek, membuahkan hasil positif di Bogor.",netral
Studi: Kualitas Udara Bisa Pengaruhi Perkembangan Kognitif Bayi,"Jumat, 30 Jun 2023 10:00 WIB",Sebuah studi ungkap buruknya kualitas udara dapat mempengaruhi gangguan perkembangan kognitif pada bayi,negatif
Kualitas Udara di Jakarta dan Tangsel Tak Sehat Saat Long Weekend Ini,"Jumat, 29 Mar 2024 10:53 WIB",Kualitas udara di Jakarta dan Tangerang Selatan (Tangsel) dilaporkan dalam kondisi tak sehat pada siang ini meski sedang memasuki long weekend.,netral
"Studi: Hanya 7 Negara yang Punya Kualitas Udara Baik Menurut WHO, Jakarta Disorot","Jumat, 22 Mar 2024 19:00 WIB","Hampir semua negara di dunia tidak memenuhi standar kualitas udara WHO, kecuali 7 negara ini.",netral
"Kualitas Udara di Jakarta Tak Sehat, KLHK Jelaskan Penyebabnya","Jumat, 11 Agu 2023 14:09 WIB","Dirjen PPK Kementerian Lingkungan Hidup, Sigit Reliantoro membeberkan beberapa faktor yang melatarbelakangi siklus kualitas udara di Jakarta kurang baik.",positif
Pemprov Imbau Warga Waspada Penurunan Kualitas Udara di Musim Kemarau,"Jumat, 16 Jun 2023 12:10 WIB","Asep menjelaskan pada akhir Mei hingga awal Juni, DKI Jakarta mengalami penurunan kualitas udara dan berada dalam kategori 'sedang' hingga 'tidak sehat'.",negatif
Kualitas Udara Jakarta Termasuk 'Tidak Sehat' di Dunia Menurut IQAir,"Senin, 12 Jun 2023 16:16 WIB","Jika diperhatikan, belakangan langit Jakarta dan sekitarnya tampak seperti berkabut. Sayangnya, yang terlihat oleh mata kita bukanlah kabut melainkan polusi.",netral
"Menteri Jokowi Heran Kualitas Udara Batam Lampu Kuning, tapi Singapura Hijau","Senin, 21 Agu 2023 11:22 WIB","""Batam memang agak sedikit orange, tapi Singapura hijau banget. Itu aneh, berdekatan,"" kata Suharso.",netral
"Kualitas Udara DKI Tak Sehat, WFH Bisa Jadi Solusi?","Jumat, 09 Jun 2023 14:23 WIB",Data dari Indeks kualitas udara (AQI) dan polusi udara PM2.5 di beberapa kota di Indonesia mencapai tingkat yang sangat buruk dalam beberapa waktu belakangan.,negatif
IQ Air: Kualitas Udara Jakarta Jumat Pagi Tidak Sehat,"Jumat, 03 Nov 2023 08:30 WIB","Kualitas udara di DKI Jakarta pada Jumat (03/11) terpantau tak sehat. Pada pukul 06:00 WIB, tercatat indeks kualitas udara ada di angka 159.",netral
"Waduh, Legislator Ungkap Kualitas Udara di Ruang Rapat DPR Ber-AC Buruk","Kamis, 31 Agu 2023 13:18 WIB","Kualitas udara buruk disebut-sebut terasa hingga ke dalam ruangan rapat di gedung MPR/DPR/DPD RI, Senayan, Jakarta, yang ber-AC.",negatif
DLH DKI Sebut Kemarau Jadi Salah Satu Pemicu Kualitas Udara Buruk,"Jumat, 11 Agu 2023 16:31 WIB",Kadis Lingkungan Hidup DKI Jakarta Asep Kuswanto menyebut musim kemarau jadi salah satu faktor yang mempengaruhi kualitas udara di Jakarta menjadi kurang baik.,positif
Pemprov DKI Ungkap Kualitas Udara Jakarta Buruk Juga Dipicu Musim Kemarau,"Jumat, 11 Agu 2023 12:04 WIB",Kadis LH DKI mengatakan buruknya kualitas udara di Jakarta saat ini dipengaruhi musim kemarau yang sedang tinggi-tingginya. Itu sebabnya udara jadi kurang baik.,positif
"Kualitas Udara DKI Buruk, KLHK Bicara Opsi WFH Kantor-kantor di Jakarta","Jumat, 11 Agu 2023 18:43 WIB",Sigit menyebut setiap manajemen kantor bisa menentukan kebijakan WFH dengan memanfaatkan informasi kualitas udara yang tersedia di sejumlah website.,netral
"Kualitas Udara Tangsel Sabtu Siang Terburuk Se-RI Versi IQAir, DKI Nomor 5","Sabtu, 12 Agu 2023 12:19 WIB","Kualitas udara di Tangsel pada siang ini masuk kategori 'tidak sehat' dan menjadi kota paling berpolusi di Indonesia. Sementara itu, Jakarta di posisi kelima.",negatif
Tips Jaga Daya Tahan Tubuh Saat Kualitas Udara Buruk,"Selasa, 31 Okt 2023 00:00 WIB","Kualitas udara yang kotor akan polusi dapat mengganggu kesehatan. Tubuh yang sistem imunnya lemah, akan mudah sakit jika terlalu sering menghirup udara kotor.",netral
Emosi Raisa Protes Buruknya Kualitas Udara di DKI: Niat Bunuh Kita Pelan-pelan?,"Rabu, 09 Agu 2023 08:20 WIB","Buruknya kualitas udara di DKI Jakarta terus mendapatkan sorotan. Terbaru, penyanyi Raisa juga bersuara memprotes buruknya kualitas udara di ibu kota.",negatif
"Kualitas Udara DKI-Tangsel 'Awut-awutan', 29 Kali Lipat Lampaui Batas Aman WHO!","Selasa, 08 Agu 2023 07:30 WIB","Pagi ini, kualitas udara DKI Jakarta, Tangerang Selatan, hingga Denpasar masuk zona merah. Konsentrasi PM 2.5 bahkan nyaris 30 kali lipat melampaui batas WHO.",netral
"KLHK: Karhutla di Jambi dan Kalsel Berkurang, Kualitas Udara Membaik","Rabu, 25 Okt 2023 13:06 WIB","KLHK menyampaikan perkembangan terbaru kondisi Karhutla di Jabi dan Kalsel yang membaik. Namun, di Sumsel dan Kalteng menjadi daerah rawan Karhutla.",positif
Data IQAir: Kualitas Udara Jakarta Tidak Sehat Siang Ini,"Senin, 29 Mei  2023 13:34 WIB",Situs IQAir menyatakan kualitas udara di Jakarta siang ini tidak sehat. Warga disarankan menggunakan masker saat berada di luar ruangan.,negatif
Kualitas Udara Ubud Terburuk-Denpasar Baik,"Jumat, 18 Agu 2023 09:41 WIB",Dua wilayah di Bali yakni Kabupaten Gianyar dan Kota Denpasar masuk dalam tabel informasi kualitas udara terburuk dan hijau di situs IQAir.com.,negatif
"Kualitas Udara Buruk, Pemerintah Konsisten, Dong!","Selasa, 22 Agu 2023 19:06 WIB",Kualitas udara Jakarta dinilai buruk. Keputusan politik pemerintah pusat harus tepat.,negatif
"Hujan Lebat Guyur Jambi, Kualitas Udara Kembali Membaik","Kamis, 19 Okt 2023 20:03 WIB",Hujan lebat kembali mengguyur wilayah Kota Jambi pagi tadi. Hujan yang mengurangi dampak kabut asap yang terjadi akibat kebakaran hutan dan lahan (karhutla).,netral
"Studi: Kualitas Udara Buruk Pengaruhi Kemampuan Belajar Siswa, Jadi Sulit Konsen!","Jumat, 18 Agu 2023 17:30 WIB",IQAir menjelaskan bahwa kualitas udara memiliki pengaruh pada kualitas belajar siswa. Seperti apa? simak penjelasannya.,netral
"Pakar Ungkap Dampak dari Kualitas Udara yang Buruk, Bahaya untuk Anak Kecil-Lansia","Rabu, 16 Agu 2023 09:30 WIB",Ini sederet dampak buruk yang bisa terjadi akibat kualitas udara yang buruk.,negatif
"Kualitas Udara Tak Sehat, Singapura Sorot Kebakaran Hutan Indonesia","Sabtu, 07 Okt 2023 14:50 WIB","Kualitas udara di Singapura memasuki kategori tidak sehat, ketika otoritas mengingatkan soal kondisi berkabut akibat peningkatan jumlah hotspot di Indonesia.",negatif
IQAir: Kualitas Udara Jakarta Minggu Pagi Tak Sehat!,"Minggu, 01 Okt 2023 12:26 WIB","Kualitas udara di Jakarta pada Minggu (1/10) pagi, masuk dalam kategori tak sehat. Menurut IQAir, tercatat kualitas udara di Jakarta berada dalam angka 180.",netral
"Akibat Karhutla, Kualitas Udara di Pekanbaru Mulai Tak Sehat","Senin, 02 Okt 2023 09:39 WIB",Kualitas udara di Pekanbaru mulai tak sehat hari ini. Kondisi ini diakibatkan asap kiriman karhutla dari daerah lain.,netral
"Diselimuti Kabut, Kualitas Udara Semenanjung Malaysia Tidak Sehat","Minggu, 01 Okt 2023 19:02 WIB","Level partikulat atmosfer berukuran lebih kecil dari 2,5 mikron di sejumlah wilayah di Semenanjung Malaysia pada Minggu petang masuk kategori tidak sehat.",negatif
BPBD Kotim: Kualitas Udara di Sampit Kalteng Berstatus Berbahaya,"Minggu, 01 Okt 2023 18:50 WIB","BPBD Kabupaten Kotawaringin Timur (Kotim), Kalimantan Tengah Multazam mengimbau masyarakat di Kota Sampit menggunakan masker saat beraktivitas di luar rumah.",netral
"10 Kota di Dunia dengan Kualitas Udara Terburuk, Jakarta Termasuk","Selasa, 06 Jun 2023 14:00 WIB",Kualitas udara Jakarta hari ini 6 Juni 2023 memasuki indeks yang cukup buruk. Ini poinnya.,negatif
"Kabut Asap Muncul, Kualitas Udara di Jambi Buruk Lagi","Rabu, 27 Sep 2023 12:30 WIB",Kualitas udara di Kota Jambi pagi ini kembali masuk kategori tidak sehat. Kondisi ini dampak dari kabut asap tipis dari kebakaran hutan dan lahan (karhutla).,negatif
"Kualitas Udara Membaik, Langit Jakarta Biru Cerah Hari Ini","Jumat, 22 Sep 2023 11:38 WIB",Situs pemantauan kualitas udara IQAir mencatat kualitas udara Jakarta hari ini dalam kategori sedang. Langit Jakarta pun terlihat biru cerah.,netral
Biang Kerok Kualitas Udara Buruk yang Mulai Dikeluhkan Warga Jambi,"Jumat, 29 Sep 2023 20:44 WIB","Warga mulai mengeluhkan kualitas udara yang masuk kategori tidak sehat dampak kabut asap. Penyebabnya, kebakaran hutan dan lahan masif di musim kemarau.",negatif
Menteri LHK Jawab Canda Menkeu: Sudah 'Hijau' Itu Indeks Kualitas Udara,"Selasa, 09 Jan 2024 13:08 WIB",Menteri LHK Siti Nurbaya memberikan tanggapan soal candaan Menteri Keuangan (Menkeu) Sri Mulyani yang menyebut sudah 'hijau'.,netral
"Kualitas Udara Pagi Ini: DKI-Tangerang, Ya Gitu Deh...","Jumat, 15 Sep 2023 07:34 WIB","Langit DKI dan sekitarnya pada hari ini, Jumat (15/9) lagi-lagi diselimuti polusi. Birunya langit berhias awan putih sudah tidak muncul lagi. Ya gitu deh...",netral
"Kualitas Udara Pagi Ini: DKI Mendingan, Tangerang Masih 'Merah'","Kamis, 14 Sep 2023 08:25 WIB","Kualitas udara di DKI, Kamis (14/9) terpantau kembali membaik, masuk kategori sedang. Berbeda dari hari sebelumnya yang terpantau keruh imbas polusi.",positif
"Langit Jakarta Biru Belakangan Ini, Kualitas Udara Membaik?","Selasa, 12 Sep 2023 07:59 WIB","Pagi ini, langit di sekitar Jakarta terlihat lebih cerah dibandingkan beberapa hari sebelumnya. Lantas bagaimana kualitas udaranya?",netral
